region,date,mean,median,lower_90,upper_90,lower_50,upper_50
BO,2020-05-16,1.1727421336170196,1.1516256594179346,1.026958209482681,1.3245699602321257,1.056919972726588,1.1694779569876483
BO,2020-05-17,1.1695973050741284,1.146282664946357,1.0246092168263434,1.3218697483376818,1.0520861001329571,1.1643628652163835
BO,2020-05-18,1.1635606900911628,1.1463582711365394,1.0259471851393216,1.312265104109249,1.0583553221705355,1.1692173391316762
BO,2020-05-19,1.153233813651419,1.1343927115594377,1.0189635457285233,1.3076533936937067,1.0591665374494785,1.16257727472824
BO,2020-05-20,1.1414407378918177,1.1248947414138337,1.012883204797586,1.2819712185300767,1.0492192891016419,1.1465793546081084
BO,2020-05-21,1.131815945166503,1.1166183010131516,1.0041304001846654,1.2658783404230447,1.046518391488651,1.1414683113402249
BO,2020-05-22,1.12111284907797,1.1059308944938988,1.0039495888325225,1.2585592621175934,1.0323119163456755,1.1247475546697903
BO,2020-05-23,1.1073665966049802,1.0935403246104856,0.981696527017306,1.2226386377085714,1.0401855022672333,1.128836902640688
BO,2020-05-24,1.0942348662823063,1.0809779767580148,0.9854200553411125,1.2218853111828343,1.0229154880847875,1.1047609264277163
BO,2020-05-25,1.0790369797104697,1.0681631842190773,0.9464608001508368,1.194863468806095,1.0195825058395749,1.0990129117218268
BO,2020-05-26,1.0614214544008251,1.056936420789809,0.9395539016686667,1.196289065518549,1.0058260739045064,1.0898519987562603
BO,2020-05-27,1.047461331477285,1.0423289065896335,0.9276830681231927,1.1808148176051265,0.9996469593767463,1.09137383577911
BO,2020-05-28,1.037860813661267,1.0373625896544756,0.9048387307698919,1.152880566604863,0.9861252813533231,1.0745141330298273
BO,2020-05-29,1.0281193945565852,1.0262467266993127,0.9065972620638321,1.17480441458007,0.9684664378819178,1.0652834744739563
BO,2020-05-30,1.0172368900974853,1.017316968937303,0.8584317099242269,1.1477659254320747,0.9590044179510501,1.057155999410659
BO,2020-05-31,1.0111869442173644,1.011244968888766,0.8475842224874435,1.153705577960412,0.9628182555967838,1.071363722468515
BO,2020-06-01,1.000392829629751,1.005630340976784,0.8387888588268568,1.1651270579057578,0.9443951064865015,1.058133877171728
BO,2020-06-02,0.989247961827396,0.9973449117016071,0.819342478300658,1.1706496502497477,0.9324730432299587,1.0567041375243478
BO,2020-06-03,0.9806922504309675,0.9909805021450226,0.7956430949572908,1.186474174489949,0.9210628344885693,1.0545250818850984
BO,2020-06-04,0.9742666239453001,0.9877217108983022,0.7811076498771694,1.1970328687348974,0.9234287509731256,1.0701230154882941
BO,2020-06-05,0.9720241013103782,0.9879583336783775,0.7602802213531226,1.2041861777668406,0.9265261062092972,1.0775479830693504
